,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Devonte Boyd\devonte-boyd-1,UNLV,MWC,2,6,208,34.7,2,0,0,,0,6,208,34.7,2
2,Izaiah Lottie\izaiah-lottie-1,New Mexico State,Sun Belt,2,6,191,31.8,4,0,0,,0,6,191,31.8,4
3,Denzel Mims\denzel-mims-1,Baylor,Big 12,3,7,214,30.6,3,0,0,,0,7,214,30.6,3
4,Cole Herdman\cole-herdman-1,Purdue,Big Ten,3,7,200,28.6,1,0,0,,0,7,200,28.6,1
5,James Washington\james-washington-5,Oklahoma State,Big 12,3,13,367,28.2,3,1,-1,-1.0,0,14,366,26.1,3
6,Chris Platt\chris-platt-1,Baylor,Big 12,3,11,308,28.0,4,4,37,9.3,0,15,345,23.0,4
7,J'Mon Moore\jmon-moore-2,Missouri,SEC,3,10,277,27.7,2,0,0,,0,10,277,27.7,2
8,Ricky Jeune\ricky-jeune-1,Georgia Tech,ACC,2,4,105,26.3,2,0,0,,0,4,105,26.3,2
9,Andre Levrone\andre-levrone-1,Virginia,ACC,3,8,207,25.9,2,0,0,,0,8,207,25.9,2
10,Trevon Brown\trevon-brown-1,East Carolina,American,3,10,253,25.3,2,0,0,,0,10,253,25.3,2
11,Akrum Wadley\akrum-wadley-1,Iowa,Big Ten,3,6,152,25.3,1,60,258,4.3,1,66,410,6.2,2
12,Diontae Johnson\diontae-johnson-1,Toledo,MAC,3,12,297,24.8,3,0,0,,0,12,297,24.8,3
13,Marquez Callaway\marquez-callaway-1,Tennessee,SEC,3,8,198,24.8,3,0,0,,0,8,198,24.8,3
14,Datrin Guyton\datrin-guyton-1,Bowling Green State,MAC,3,10,245,24.5,0,0,0,,0,10,245,24.5,0
15,Dredrick Snelson\dredrick-snelson-1,UCF,American,1,4,98,24.5,0,0,0,,0,4,98,24.5,0
16,A.J. Brown\aj-brown-4,Ole Miss,SEC,2,16,389,24.3,4,0,0,,0,16,389,24.3,4
17,Byron Pringle\byron-pringle-1,Kansas State,Big 12,2,6,146,24.3,1,1,15,15.0,0,7,161,23.0,1
18,Tre'Quan Smith\trequan-smith-1,UCF,American,1,3,72,24.0,2,0,0,,0,3,72,24.0,2
19,DeAndre McNeal\deandre-mcneal-2,Florida Atlantic,CUSA,3,11,261,23.7,2,0,0,,0,11,261,23.7,2
20,Tamarion Johnson\tamarion-johnson-1,Minnesota,Big Ten,3,12,282,23.5,2,0,0,,0,12,282,23.5,2
21,Jalen Guyton\jalen-guyton-1,North Texas,CUSA,3,8,185,23.1,3,0,0,,0,8,185,23.1,3
22,C.J. Conrad\cj-conrad-1,Kentucky,SEC,3,7,161,23.0,2,0,0,,0,7,161,23.0,2
23,Collin Johnson\collin-johnson-1,Texas,Big 12,3,16,366,22.9,1,0,0,,0,16,366,22.9,1
24,Derrick Willies\derrick-willies-1,Texas Tech,Big 12,2,8,182,22.8,2,1,0,0.0,0,9,182,20.2,2
25,Thomas Owens\thomas-owens-1,Florida International,CUSA,2,7,158,22.6,1,0,0,,0,7,158,22.6,1
26,Jordan Akins\jordan-akins-1,UCF,American,1,2,45,22.5,1,0,0,,0,2,45,22.5,1
27,Terry Godwin\terry-godwin-1,Georgia,SEC,3,6,134,22.3,3,0,0,,0,6,134,22.3,3
28,Saquon Barkley\saquon-barkley-1,Penn State,Big Ten,3,11,241,21.9,2,38,307,8.1,3,49,548,11.2,5
29,James Proche\james-proche-1,SMU,American,3,7,152,21.7,1,0,0,,0,7,152,21.7,1
30,Darrell Langham\darrell-langham-1,Miami (FL),ACC,1,3,65,21.7,1,0,0,,0,3,65,21.7,1
31,Jamarius Way\jamarius-way-1,South Alabama,Sun Belt,3,9,193,21.4,1,1,-9,-9.0,0,10,184,18.4,1
32,Justin McInnis\justin-mcinnis-1,Arkansas State,Sun Belt,2,5,106,21.2,1,0,0,,0,5,106,21.2,1
33,Dez Fitzpatrick\dez-fitzpatrick-1,Louisville,ACC,3,10,211,21.1,4,0,0,,0,10,211,21.1,4
34,Jalen Reagor\jalen-reagor-1,Texas Christian,Big 12,3,6,126,21.0,1,0,0,,0,6,126,21.0,1
35,Marquise Brown\marquise-brown-1,Oklahoma,Big 12,2,9,187,20.8,1,0,0,,0,9,187,20.8,1
36,Auden Tate\auden-tate-1,Florida State,ACC,1,2,41,20.5,1,0,0,,0,2,41,20.5,1
37,Delane Hart-Johnson\delane-hart-johnson-1,New Mexico,MWC,3,7,143,20.4,0,0,0,,0,7,143,20.4,0
38,D.J. Chark\dj-chark-1,LSU,SEC,3,10,203,20.3,0,2,11,5.5,0,12,214,17.8,0
39,Jordan Lasley\jordan-lasley-1,UCLA,Pac-12,2,8,162,20.3,2,1,5,5.0,0,9,167,18.6,2
40,Steven Sims Jr.\steven-sims-jr-1,Kansas,Big 12,2,10,202,20.2,2,1,-3,-3.0,0,11,199,18.1,2
41,Javon Wims\javon-wims-1,Georgia,SEC,3,6,121,20.2,1,0,0,,0,6,121,20.2,1
42,Traveon Samuel\traveon-samuel-1,Louisville,ACC,3,8,161,20.1,0,1,10,10.0,0,9,171,19.0,0
43,Isaiah Wright\isaiah-wright-1,Temple,American,3,9,180,20.0,1,1,9,9.0,0,10,189,18.9,1
44,McLane Mannix\mclane-mannix-1,Nevada,MWC,3,15,297,19.8,3,1,1,1.0,0,16,298,18.6,3
45,Turner Smiley\turner-smiley-1,North Texas,CUSA,2,8,158,19.8,0,0,0,,0,8,158,19.8,0
46,Elijah King\elijah-king-1,Texas State,Sun Belt,2,10,197,19.7,0,0,0,,0,10,197,19.7,0
47,Gerold Bright\gerold-bright-1,Utah State,MWC,3,6,118,19.7,1,0,0,,0,6,118,19.7,1
48,Tyre Brady\tyre-brady-1,Marshall,CUSA,3,19,373,19.6,2,0,0,,0,19,373,19.6,2
49,Trent Sherfield\trent-sherfield-1,Vanderbilt,SEC,3,12,234,19.5,1,0,0,,0,12,234,19.5,1
50,Jalen Harvey\jalen-harvey-2,Arizona State,Pac-12,3,8,152,19.0,1,0,0,,0,8,152,19.0,1
51,DeMarkus Lodge\demarkus-lodge-1,Ole Miss,SEC,3,15,284,18.9,4,0,0,,0,15,284,18.9,4
52,Anthony Miller\anthony-miller-6,Memphis,American,2,11,208,18.9,2,3,15,5.0,0,14,223,15.9,2
53,Quez Watkins\quez-watkins-1,Southern Mississippi,CUSA,3,8,151,18.9,1,0,0,,0,8,151,18.9,1
54,Jay Griffin IV\jay-griffin-iv-1,New Mexico,MWC,3,7,131,18.7,2,2,68,34.0,1,9,199,22.1,3
55,Jeff Badet\jeff-badet-1,Oklahoma,Big 12,3,10,186,18.6,0,3,7,2.3,0,13,193,14.8,0
56,Sergio Bailey\sergio-bailey-1,Eastern Michigan,MAC,2,10,185,18.5,0,0,0,,0,10,185,18.5,0
57,Johnathon Johnson\johnathon-johnson-2,Missouri,SEC,3,8,148,18.5,2,0,0,,0,8,148,18.5,2
58,Markis McCray\markis-mccray-1,Louisiana-Monroe,Sun Belt,2,4,74,18.5,0,0,0,,0,4,74,18.5,0
59,Travis Fulgham\travis-fulgham-1,Old Dominion,CUSA,2,10,183,18.3,1,0,0,,0,10,183,18.3,1
60,Adonis Jennings\adonis-jennings-1,Temple,American,3,8,146,18.3,1,0,0,,0,8,146,18.3,1
61,Ben Skowronek\ben-skowronek-1,Northwestern,Big Ten,3,12,218,18.2,2,0,0,,0,12,218,18.2,2
62,Deangleo Antoine\deangleo-antoine-1,South Florida,American,2,6,109,18.2,1,3,46,15.3,0,9,155,17.2,1
63,Royce Freeman\royce-freeman-1,Oregon,Pac-12,3,6,109,18.2,0,82,460,5.6,9,88,569,6.5,9
64,Marcell Ateman\marcell-ateman-1,Oklahoma State,Big 12,3,13,235,18.1,3,0,0,,0,13,235,18.1,3
65,DaeSean Hamilton\daesean-hamilton-1,Penn State,Big Ten,3,9,163,18.1,1,0,0,,0,9,163,18.1,1
