,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,UCF,1,61.0,26.0,33.0,78.8,439.0,4.0,45.0,157.0,3.5,4.0,78.0,596.0,7.6,14.0,9.0,8.0,31.0,9.0,65.0,1.0,1.0,2.0
2,Maryland,2,57.0,13.0,16.5,78.8,193.0,2.0,39.5,315.0,8.0,5.0,56.0,508.0,9.1,7.0,12.0,1.5,20.5,7.5,54.0,0.0,0.5,0.5
3,Oregon,3,56.0,22.0,30.0,73.3,323.7,1.7,53.7,285.3,5.3,6.0,83.7,609.0,7.3,12.0,18.3,2.3,32.7,9.3,86.0,1.7,0.7,2.3
4,Oklahoma State,3,54.0,24.3,34.7,70.2,407.3,3.7,35.3,212.7,6.0,2.3,70.0,620.0,8.9,15.3,10.0,1.7,27.0,4.3,35.3,1.0,0.3,1.3
5,Texas Tech,2,54.0,34.0,42.5,80.0,496.0,5.0,34.5,124.5,3.6,2.0,77.0,620.5,8.1,22.0,9.0,2.0,33.0,8.5,93.5,0.5,0.0,0.5
6,SMU,3,49.3,17.3,34.0,51.0,318.3,3.3,37.3,155.3,4.2,2.3,71.3,473.7,6.6,11.3,8.7,2.7,22.0,4.3,44.3,0.0,1.0,1.0
7,Texas Christian,3,49.0,22.7,30.3,74.7,277.0,3.3,42.3,230.3,5.4,2.7,72.7,507.3,7.0,11.7,14.0,0.7,26.3,7.3,68.3,1.3,0.7,2.0
8,UCLA,3,48.7,31.0,48.0,64.6,442.3,4.3,28.7,121.7,4.2,2.0,76.7,564.0,7.4,20.3,6.0,2.0,28.3,9.0,79.3,1.3,0.7,2.0
9,Mississippi State,3,47.7,16.0,26.3,60.8,195.3,2.7,46.0,297.7,6.5,2.7,72.3,493.0,6.8,8.7,15.3,1.3,25.3,5.7,49.3,0.0,0.3,0.3
10,Oklahoma,3,47.7,26.3,33.7,78.2,438.7,4.0,35.7,160.3,4.5,2.3,69.3,599.0,8.6,18.3,9.7,2.0,29.0,3.7,38.7,1.3,0.0,1.3
11,Arizona,3,47.0,16.3,24.7,66.2,161.0,1.3,50.0,337.7,6.8,4.3,74.7,498.7,6.7,7.7,14.0,2.7,24.3,5.3,45.3,0.7,0.3,1.0
12,Penn State,3,47.0,19.0,29.3,64.8,282.0,3.3,27.0,188.0,7.0,2.7,56.3,470.0,8.3,11.0,7.3,1.3,19.7,3.7,35.0,0.0,0.7,0.7
13,Tulsa,3,47.0,15.3,26.0,59.0,185.3,0.3,66.7,363.7,5.5,5.3,92.7,549.0,5.9,7.7,19.7,3.0,30.3,6.7,63.7,1.0,0.0,1.0
14,Washington,3,47.0,22.0,28.7,76.7,301.7,2.7,30.3,129.7,4.3,2.3,59.0,431.3,7.3,14.7,6.7,1.0,22.3,5.3,48.7,0.7,0.3,1.0
15,West Virginia,3,46.3,26.3,40.7,64.8,369.3,4.0,39.0,213.7,5.5,2.3,79.7,583.0,7.3,14.3,12.7,1.7,28.7,6.3,65.3,0.7,0.7,1.3
16,Toledo,3,46.0,20.0,31.3,63.8,334.7,2.7,44.7,218.0,4.9,2.3,76.0,552.7,7.3,13.3,10.7,3.0,27.0,10.3,98.0,0.3,0.7,1.0
17,Duke,3,45.0,25.0,38.0,65.8,256.7,1.7,51.7,259.3,5.0,3.3,89.7,516.0,5.8,12.3,14.3,2.7,29.3,5.3,49.7,0.7,0.7,1.3
18,Wake Forest,3,43.7,16.3,24.3,67.1,229.0,2.7,52.0,232.3,4.5,2.3,76.3,461.3,6.0,9.3,12.3,1.3,23.0,5.7,42.3,0.0,0.3,0.3
