G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
1,Sep 3 2016,8:00 PM,Sat,Texas Tech,,Stephen F. Austin,Non-Major,W,69,17,1,0,W 1,,
2,Sep 10 2016,10:00 PM,Sat,Texas Tech,@,Arizona State,Pac-12,L,55,68,1,1,L 1,FS1,
3,Sep 17 2016,7:00 PM,Sat,Texas Tech,,Louisiana Tech,CUSA,W,59,45,2,1,W 1,,
4,Sep 29 2016,8:30 PM,Thu,Texas Tech,,Kansas,Big 12,W,55,19,3,1,W 2,FS1,
5,Oct 8 2016,7:00 PM,Sat,Texas Tech,@,Kansas State,Big 12,L,38,44,3,2,L 1,,
6,Oct 15 2016,12:00 PM,Sat,Texas Tech,,(20) West Virginia,Big 12,L,17,48,3,3,L 2,,
7,Oct 22 2016,8:00 PM,Sat,Texas Tech,,(16) Oklahoma,Big 12,L,59,66,3,4,L 3,,
8,Oct 29 2016,3:30 PM,Sat,Texas Tech,@,Texas Christian,Big 12,W,27,24,4,4,W 1,,
9,Nov 5 2016,12:00 PM,Sat,Texas Tech,,Texas,Big 12,L,37,45,4,5,L 1,,
10,Nov 12 2016,3:30 PM,Sat,Texas Tech,@,(17) Oklahoma State,Big 12,L,44,45,4,6,L 2,,
11,Nov 19 2016,3:30 PM,Sat,Texas Tech,@,Iowa State,Big 12,L,10,66,4,7,L 3,,
12,Nov 25 2016,6:00 PM,Fri,Texas Tech,N,Baylor,Big 12,W,54,35,5,7,W 1,ESPN,
