,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Justin Stockton\justin-stockton-1,20,94,4.7,2,6,57,9.5,0,26,151,5.8,2
2,Desmond Nisby\desmond-nisby-1,15,102,6.8,0,,,,,15,102,6.8,0
3,Mason Reed\mason-reed-1,7,25,3.6,0,2,26,13.0,1,9,51,5.7,1
4,Demarcus Felton\demarcus-felton-1,6,30,5.0,0,,,,,6,30,5.0,0
5,Nic Shimonek\nic-shimonek-1,6,-43,-7.2,0,,,,,6,-43,-7.2,0
6,Tre King\tre-king-1,5,21,4.2,1,2,16,8.0,0,7,37,5.3,1
7,Jett Duffey\jett-duffey-1,4,6,1.5,0,,,,,4,6,1.5,0
8,McLane Carter\mclane-carter-1,1,9,9.0,0,,,,,1,9,9.0,0
9,Caleb Woodward\caleb-woodward-1,1,5,5.0,0,,,,,1,5,5.0,0
10,Dylan Cantrell\dylan-cantrell-1,1,3,3.0,1,12,195,16.3,2,13,198,15.2,3
11,Derrick Willies\derrick-willies-1,1,0,0.0,0,8,182,22.8,2,9,182,20.2,2
12,Keke Coutee\keke-coutee-1,,,,,17,285,16.8,3,17,285,16.8,3
13,Cameron Batson\cameron-batson-1,,,,,12,112,9.3,1,12,112,9.3,1
14,Ja'Deion High\jadeion-high-1,,,,,2,35,17.5,0,2,35,17.5,0
15,Quan Shorts\quan-shorts-1,,,,,2,30,15.0,1,2,30,15.0,1
16,Donta Thompson\donta-thompson-1,,,,,1,20,20.0,0,1,20,20.0,0
17,Antoine Wesley\antoine-wesley-1,,,,,1,13,13.0,0,1,13,13.0,0
18,T.J. Vasher\tj-vasher-1,,,,,1,11,11.0,0,1,11,11.0,0
19,JoJo Robinson\jojo-robinson-1,,,,,1,7,7.0,0,1,7,7.0,0
20,De'Quan Bowman\dequan-bowman-1,,,,,1,3,3.0,0,1,3,3.0,0
